"","clientId","sex","orderdate","cart","to","ord"
"1",1,"male",2012-01-22,"a",2012-02-13,"ord1"
"2",1,"male",2012-02-14,"a",2012-03-07,"ord2"
"3",1,"male",2012-03-08,"a;b",2012-03-13,"ord3"
"4",1,"male",2012-03-14,"a;b",2012-03-31,"ord4"
"5",2,"female",2012-02-11,"a;c",2012-03-07,"ord1"
"6",2,"female",2012-03-08,"a;b",2012-03-10,"ord2"
"7",2,"female",2012-03-11,"a;b",2012-03-31,"ord3"
"8",3,"female",2012-01-17,"a;c",2012-02-05,"ord1"
"9",3,"female",2012-02-06,"a;b;c",2012-03-03,"ord2"
"10",3,"female",2012-03-04,"a;b",2012-03-23,"ord3"
"11",3,"female",2012-03-24,"a;c",2012-03-31,"ord4"
"12",4,"female",2012-01-05,"a;c",2012-01-31,"ord1"
"13",4,"female",2012-02-01,"a;c",2012-02-11,"ord2"
"14",4,"female",2012-02-12,"a",2012-02-24,"ord3"
"15",4,"female",2012-02-25,"a;b",2012-03-21,"ord4"
"16",4,"female",2012-03-22,"nopurch",2012-04-01,"ord5"
"17",5,"male",2012-01-30,"a;b",2012-02-02,"ord1"
"18",5,"male",2012-02-03,"c",2012-02-12,"ord2"
"19",5,"male",2012-02-13,"a;c",2012-02-22,"ord3"
"20",5,"male",2012-02-23,"nopurch",2012-04-01,"ord4"
"21",6,"female",2012-01-20,"a;b",2012-02-16,"ord1"
"22",6,"female",2012-02-17,"a;b",2012-02-21,"ord2"
"23",6,"female",2012-02-22,"a;b;c",2012-03-19,"ord3"
"24",6,"female",2012-03-20,"a;b",2012-03-31,"ord4"
"25",7,"female",2012-01-06,"a;b",2012-01-25,"ord1"
"26",7,"female",2012-01-26,"a;b",2012-02-24,"ord2"
"27",7,"female",2012-02-25,"nopurch",2012-04-01,"ord3"
"28",8,"male",2012-01-29,"a;b",2012-02-02,"ord1"
"29",8,"male",2012-02-03,"b",2012-02-12,"ord2"
"30",8,"male",2012-02-13,"a;b;c",2012-03-19,"ord3"
"31",8,"male",2012-03-20,"a;c",2012-03-31,"ord4"
"32",9,"male",2012-01-10,"a;b;c",2012-01-29,"ord1"
"33",9,"male",2012-01-30,"a;b;c",2012-03-06,"ord2"
"34",9,"male",2012-03-07,"a;b",2012-03-31,"ord3"
"35",10,"male",2012-01-24,"a",2012-03-10,"ord1"
"36",10,"male",2012-03-11,"a;c",2012-03-30,"ord2"
"37",10,"male",2012-03-31,"b",2012-03-31,"ord3"
"38",11,"male",2012-01-22,"a",2012-01-28,"ord1"
"39",11,"male",2012-01-29,"a;b;c",2012-02-19,"ord2"
"40",11,"male",2012-02-20,"a;b",2012-03-05,"ord3"
"41",11,"male",2012-03-06,"a",2012-03-11,"ord4"
"42",11,"male",2012-03-12,"a;b",2012-03-30,"ord5"
"43",11,"male",2012-03-31,"nopurch",2012-04-01,"ord6"
"44",12,"male",2012-01-22,"a;b",2012-02-09,"ord1"
"45",12,"male",2012-02-10,"a;b;c",2012-02-22,"ord2"
"46",12,"male",2012-02-23,"a;b;c",2012-03-17,"ord3"
"47",12,"male",2012-03-18,"nopurch",2012-04-01,"ord4"
"48",13,"male",2012-01-10,"a",2012-01-19,"ord1"
"49",13,"male",2012-01-20,"a",2012-03-16,"ord2"
"50",13,"male",2012-03-17,"a",2012-03-31,"ord3"
"51",14,"male",2012-01-18,"a;b",2012-02-01,"ord1"
"52",14,"male",2012-02-02,"a;b",2012-02-13,"ord2"
"53",14,"male",2012-02-14,"a;b;c",2012-02-20,"ord3"
"54",14,"male",2012-02-21,"a;b;c",2012-03-05,"ord4"
"55",14,"male",2012-03-06,"a;b",2012-03-22,"ord5"
"56",14,"male",2012-03-23,"a",2012-03-31,"ord6"
"57",15,"male",2012-02-05,"a",2012-03-13,"ord1"
"58",15,"male",2012-03-14,"a",2012-03-31,"ord2"
"59",16,"male",2012-01-28,"a;b;c",2012-02-11,"ord1"
"60",16,"male",2012-02-12,"a;c",2012-03-10,"ord2"
"61",16,"male",2012-03-11,"a",2012-03-31,"ord3"
"62",17,"female",2012-02-04,"a;b",2012-02-19,"ord1"
"63",17,"female",2012-02-20,"a;b",2012-03-14,"ord2"
"64",17,"female",2012-03-15,"a;b;c",2012-03-28,"ord3"
"65",17,"female",2012-03-29,"a;b;c",2012-03-31,"ord4"
"66",18,"male",2012-01-16,"a;b",2012-03-09,"ord1"
"67",18,"male",2012-03-10,"a;b;c",2012-03-24,"ord2"
"68",18,"male",2012-03-25,"a;b;c",2012-03-31,"ord3"
"69",19,"female",2012-02-15,"a;b;c",2012-03-30,"ord1"
"70",19,"female",2012-03-31,"a;b",2012-03-31,"ord2"
"71",20,"male",2012-01-20,"a;b",2012-02-06,"ord1"
"72",20,"male",2012-02-07,"a;b;c",2012-03-28,"ord2"
"73",20,"male",2012-03-29,"a;b;c",2012-03-31,"ord3"
"74",22,"female",2012-03-29,"a;c",2012-03-31,"ord1"
"75",23,"female",2012-01-02,"a;b",2012-02-23,"ord1"
"76",23,"female",2012-02-24,"a;b;c",2012-03-06,"ord2"
"77",23,"female",2012-03-07,"a;b",2012-03-11,"ord3"
"78",23,"female",2012-03-12,"a;b",2012-03-31,"ord4"
"79",24,"female",2012-01-06,"a;b;c",2012-01-09,"ord1"
"80",24,"female",2012-01-10,"a;b",2012-03-08,"ord2"
"81",24,"female",2012-03-09,"a;b;c",2012-03-31,"ord3"
"82",25,"male",2012-02-03,"b;c",2012-03-05,"ord1"
"83",25,"male",2012-03-06,"a;b",2012-03-10,"ord2"
"84",25,"male",2012-03-11,"b",2012-03-31,"ord3"
"85",26,"female",2012-01-09,"a;b;c",2012-01-22,"ord1"
"86",26,"female",2012-01-23,"a;b;c",2012-01-28,"ord2"
"87",26,"female",2012-01-29,"a;c",2012-02-04,"ord3"
"88",26,"female",2012-02-05,"a;b",2012-03-09,"ord4"
"89",26,"female",2012-03-10,"a;b;c",2012-03-31,"ord5"
"90",27,"female",2012-01-25,"a",2012-02-07,"ord1"
"91",27,"female",2012-02-08,"a;b",2012-02-28,"ord2"
"92",27,"female",2012-02-29,"nopurch",2012-04-01,"ord3"
"93",28,"male",2012-01-10,"a",2012-01-28,"ord1"
"94",28,"male",2012-01-29,"a;c",2012-02-24,"ord2"
"95",28,"male",2012-02-25,"a",2012-03-03,"ord3"
"96",28,"male",2012-03-04,"a;b",2012-03-30,"ord4"
"97",28,"male",2012-03-31,"nopurch",2012-04-01,"ord5"
"98",29,"male",2012-02-24,"a",2012-03-06,"ord1"
"99",29,"male",2012-03-07,"a",2012-03-07,"ord2"
"100",29,"male",2012-03-08,"a;b",2012-03-24,"ord3"
"101",29,"male",2012-03-25,"a;b;c",2012-03-31,"ord4"
"102",30,"male",2012-01-15,"a;b;c",2012-02-14,"ord1"
"103",30,"male",2012-02-15,"a;b",2012-03-31,"ord2"
"104",31,"female",2012-02-09,"a;b",2012-03-09,"ord1"
"105",31,"female",2012-03-10,"nopurch",2012-04-01,"ord2"
"106",32,"female",2012-01-04,"a;b;c",2012-01-06,"ord1"
"107",32,"female",2012-01-07,"a;b",2012-01-24,"ord2"
"108",32,"female",2012-01-25,"a;c",2012-02-11,"ord3"
"109",32,"female",2012-02-12,"a",2012-02-24,"ord4"
"110",32,"female",2012-02-25,"a;c",2012-03-15,"ord5"
"111",32,"female",2012-03-16,"nopurch",2012-04-01,"ord6"
"112",33,"female",2012-01-10,"a;b;c",2012-01-16,"ord1"
"113",33,"female",2012-01-17,"a;b;c",2012-03-06,"ord2"
"114",33,"female",2012-03-07,"a;b;c",2012-03-25,"ord3"
"115",33,"female",2012-03-26,"a;b;c",2012-03-31,"ord4"
"116",34,"female",2012-01-16,"a",2012-02-12,"ord1"
"117",34,"female",2012-02-13,"a;b",2012-02-16,"ord2"
"118",34,"female",2012-02-17,"a;b;c",2012-03-22,"ord3"
"119",34,"female",2012-03-23,"a;b",2012-03-26,"ord4"
"120",34,"female",2012-03-27,"a;b",2012-03-31,"ord5"
"121",35,"female",2012-01-10,"a;b;c",2012-01-16,"ord1"
"122",35,"female",2012-01-17,"a",2012-03-19,"ord2"
"123",35,"female",2012-03-20,"a",2012-03-31,"ord3"
